Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-08-25 04:14:31,Human,Hunter,Female,Saldaea,13,12,10,16,19
2013-08-25 04:12:47,Human,Hunter,Female,Saldaea,19,14,10,15,15
2013-08-25 04:10:24,Human,Hunter,Female,Saldaea,16,12,13,18,15
2013-08-25 04:07:58,Human,Hunter,Female,Saldaea,16,12,9,15,19
2013-08-25 04:05:44,Human,Hunter,Female,Saldaea,14,13,12,15,18
2013-08-25 04:01:55,Human,Hunter,Female,Saldaea,19,12,12,14,15
2013-08-25 03:59:24,Human,Hunter,Female,Saldaea,17,14,12,15,12
2013-08-25 03:57:09,Human,Hunter,Female,Saldaea,14,13,15,14,16
2013-08-25 03:55:08,Human,Hunter,Female,Saldaea,16,13,12,13,17
2013-08-25 03:48:06,Human,Hunter,Female,Saldaea,17,13,13,16,15
2013-08-25 03:46:07,Human,Hunter,Female,Saldaea,14,12,15,15,15
2013-08-25 03:40:18,Human,Hunter,Female,Saldaea,19,12,13,15,13
2013-08-25 03:38:25,Human,Hunter,Female,Saldaea,17,12,15,15,15
2013-08-25 03:32:38,Human,Hunter,Female,Saldaea,16,9,13,15,18
2013-08-25 03:30:06,Human,Hunter,Female,Saldaea,16,14,12,14,16
2013-08-25 03:28:09,Human,Hunter,Female,Saldaea,17,12,14,15,17
2013-08-25 03:22:37,Human,Hunter,Female,Saldaea,19,12,11,15,16
2013-08-25 03:20:29,Human,Hunter,Female,Saldaea,15,15,12,13,17
2013-08-25 03:18:43,Human,Hunter,Female,Saldaea,16,13,13,17,15
2013-08-25 03:06:23,Human,Hunter,Female,Saldaea,15,12,12,15,18
2013-08-25 03:04:06,Human,Hunter,Female,Saldaea,18,12,12,17,14
2013-08-25 02:54:02,Human,Hunter,Female,Saldaea,17,12,14,15,16
2013-08-25 02:52:00,Human,Hunter,Female,Saldaea,15,11,12,16,17
2013-08-25 02:46:24,Human,Hunter,Female,Saldaea,18,12,12,15,17
2013-08-25 02:44:09,Human,Hunter,Female,Saldaea,17,12,12,15,14
2013-08-25 02:38:23,Human,Hunter,Female,Saldaea,19,12,12,15,14
2013-08-25 02:35:52,Human,Hunter,Female,Saldaea,15,12,12,16,17
2013-08-25 02:34:05,Human,Hunter,Female,Saldaea,18,12,12,16,15
2013-08-25 02:27:31,Human,Hunter,Female,Saldaea,16,12,14,13,15
2013-08-25 02:25:00,Human,Hunter,Female,Saldaea,17,12,13,18,13
2013-08-25 02:23:00,Human,Hunter,Female,Saldaea,14,12,14,15,15
2013-08-25 02:22:33,Human,Hunter,Female,Saldaea,16,12,12,16,16
2013-08-25 02:15:49,Human,Hunter,Female,Saldaea,16,12,12,16,16
2013-08-25 02:13:38,Human,Hunter,Female,Saldaea,14,15,10,16,16
2013-08-25 02:07:52,Human,Hunter,Female,Saldaea,16,12,11,15,17
2013-08-25 02:05:51,Human,Hunter,Female,Saldaea,16,12,14,18,17
2013-08-25 01:58:44,Human,Hunter,Female,Saldaea,15,14,12,18,15
2013-08-25 01:56:40,Human,Hunter,Female,Saldaea,15,12,12,16,15
2013-08-25 01:50:35,Human,Hunter,Female,Saldaea,17,12,16,15,17
2013-08-25 01:48:30,Human,Hunter,Female,Saldaea,15,14,12,15,15
2013-08-25 01:44:16,Human,Hunter,Female,Saldaea,17,12,12,16,16
2013-08-25 01:40:21,Human,Hunter,Female,Saldaea,16,13,12,15,15
2013-08-25 01:30:54,Human,Hunter,Female,Saldaea,16,12,12,15,17
2013-08-25 01:24:27,Human,Hunter,Female,Saldaea,14,13,15,17,14
2013-08-25 01:22:03,Human,Hunter,Female,Saldaea,18,13,14,15,16
2013-08-25 01:19:38,Human,Hunter,Female,Saldaea,16,13,10,16,15
2013-08-25 01:13:28,Human,Hunter,Female,Saldaea,16,12,15,15,15
2013-08-25 01:11:18,Human,Hunter,Female,Saldaea,17,15,10,15,15
2013-08-25 01:05:35,Human,Hunter,Female,Saldaea,17,14,14,15,15
2013-08-25 01:03:11,Human,Hunter,Female,Saldaea,18,15,15,15,15
2013-08-25 01:00:59,Human,Hunter,Female,Saldaea,16,13,14,15,16
2013-08-24 10:07:08,Human,Hunter,Female,Saldaea,16,12,12,16,15
2013-08-24 10:05:02,Human,Hunter,Female,Saldaea,18,12,12,15,15
2013-08-24 10:01:16,Human,Hunter,Female,Saldaea,15,11,12,15,18
2013-08-24 09:58:59,Human,Hunter,Female,Saldaea,17,9,13,15,16
2013-08-24 09:56:30,Human,Hunter,Female,Saldaea,17,12,14,16,15
2013-08-24 09:51:07,Human,Hunter,Female,Saldaea,17,14,12,15,13
2013-08-24 09:48:52,Human,Hunter,Female,Saldaea,18,12,14,13,18
2013-08-24 09:46:00,Human,Hunter,Female,Saldaea,18,12,12,13,16
2013-08-24 09:43:14,Human,Hunter,Female,Saldaea,16,12,10,17,15
2013-08-24 09:40:58,Human,Hunter,Female,Saldaea,18,12,12,15,15
2013-08-24 09:37:01,Human,Hunter,Female,Saldaea,16,13,11,15,17
2013-08-24 09:34:05,Human,Hunter,Female,Saldaea,16,14,13,17,15
2013-08-24 09:32:01,Human,Hunter,Female,Saldaea,17,12,13,15,15
2013-08-24 09:30:00,Human,Hunter,Female,Saldaea,19,14,12,14,16
2013-08-24 09:26:08,Human,Hunter,Female,Saldaea,19,13,13,18,15
2013-08-24 09:23:54,Human,Hunter,Female,Saldaea,18,12,12,17,14
2013-08-24 09:21:51,Human,Hunter,Female,Saldaea,18,9,12,15,16
2013-08-24 09:17:35,Human,Hunter,Female,Saldaea,16,12,15,15,15
2013-08-24 09:14:59,Human,Hunter,Female,Saldaea,17,15,12,18,12
2013-08-24 09:13:06,Human,Hunter,Female,Saldaea,16,13,12,15,14
2013-08-24 09:09:22,Human,Hunter,Female,Saldaea,16,14,9,15,17
2013-08-24 09:06:59,Human,Hunter,Female,Saldaea,15,13,12,14,16
2013-08-24 09:04:46,Human,Hunter,Female,Saldaea,16,12,12,17,15
2013-08-24 09:00:48,Human,Hunter,Female,Saldaea,16,10,14,16,15
2013-08-24 08:58:10,Human,Hunter,Female,Saldaea,14,12,14,18,13
2013-08-24 08:55:48,Human,Hunter,Female,Saldaea,16,12,11,15,17
2013-08-24 08:53:38,Human,Hunter,Female,Saldaea,14,14,12,15,15
2013-08-24 08:51:15,Human,Hunter,Female,Saldaea,16,15,13,13,18
2013-08-24 08:46:06,Human,Hunter,Female,Saldaea,18,14,11,15,13
