Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:57:35,Human,Channeler,Male,Saldaea,16,16,15,13,10
2013-09-19 18:57:34,Human,Channeler,Male,Saldaea,14,17,15,15,14
2013-09-19 18:57:34,Human,Channeler,Male,Saldaea,17,15,16,14,13
2013-09-19 18:57:33,Human,Channeler,Male,Saldaea,14,17,13,14,13
2013-09-19 18:57:32,Human,Channeler,Male,Saldaea,14,15,16,13,14
2013-09-19 18:57:31,Human,Channeler,Male,Saldaea,14,16,17,15,10
2013-09-19 18:57:31,Human,Channeler,Male,Saldaea,13,18,16,12,12
2013-09-19 18:57:30,Human,Channeler,Male,Saldaea,13,14,17,11,15
2013-09-19 18:57:30,Human,Channeler,Male,Saldaea,16,13,16,15,12
2013-09-19 18:57:29,Human,Channeler,Male,Saldaea,16,15,17,14,12
2013-09-19 18:57:29,Human,Channeler,Male,Saldaea,14,18,15,14,12
2013-09-19 18:57:28,Human,Channeler,Male,Saldaea,15,15,14,13,13
2013-09-19 18:57:28,Human,Channeler,Male,Saldaea,17,18,15,14,13
2013-09-19 18:57:27,Human,Channeler,Male,Saldaea,16,15,15,13,14
2013-09-19 18:57:27,Human,Channeler,Male,Saldaea,11,15,17,14,13
2013-09-19 18:57:26,Human,Channeler,Male,Saldaea,14,18,18,14,14
2013-09-19 18:57:26,Human,Channeler,Male,Saldaea,13,17,15,14,12
2013-09-19 18:57:25,Human,Channeler,Male,Saldaea,14,16,17,10,13
2013-09-19 18:57:25,Human,Channeler,Male,Saldaea,16,15,17,13,13
2013-09-19 18:57:24,Human,Channeler,Male,Saldaea,14,15,17,13,12
2013-09-19 18:57:24,Human,Channeler,Male,Saldaea,15,15,16,13,12
2013-09-19 18:57:23,Human,Channeler,Male,Saldaea,14,15,15,16,14
2013-09-19 18:57:22,Human,Channeler,Male,Saldaea,13,17,13,14,16
2013-09-19 18:57:22,Human,Channeler,Male,Saldaea,14,17,14,15,12
2013-09-19 18:57:21,Human,Channeler,Male,Saldaea,15,15,17,15,12
2013-09-19 18:57:21,Human,Channeler,Male,Saldaea,14,16,15,15,11
2013-09-19 18:57:20,Human,Channeler,Male,Saldaea,17,16,13,14,14
2013-09-19 18:57:19,Human,Channeler,Male,Saldaea,13,15,14,17,12
2013-09-19 18:57:19,Human,Channeler,Male,Saldaea,12,16,16,14,14
2013-09-19 18:57:18,Human,Channeler,Male,Saldaea,14,17,16,13,15
2013-09-19 18:57:17,Human,Channeler,Male,Saldaea,14,18,15,13,10
2013-09-19 18:57:16,Human,Channeler,Male,Saldaea,15,15,15,15,13
2013-09-19 18:57:16,Human,Channeler,Male,Saldaea,14,17,18,13,12
2013-09-19 18:57:16,Human,Channeler,Male,Saldaea,14,15,15,14,12
2013-09-19 18:57:15,Human,Channeler,Male,Saldaea,15,16,15,15,12
2013-09-19 18:57:15,Human,Channeler,Male,Saldaea,13,17,17,13,12
2013-09-19 18:57:14,Human,Channeler,Male,Saldaea,16,15,15,13,12
2013-09-19 18:57:13,Human,Channeler,Male,Saldaea,16,17,15,12,11
2013-09-19 18:57:12,Human,Channeler,Male,Saldaea,14,16,15,14,14
2013-09-19 18:57:12,Human,Channeler,Male,Saldaea,15,15,17,13,13
2013-09-19 18:57:11,Human,Channeler,Male,Saldaea,15,14,15,15,12
2013-09-19 18:57:10,Human,Channeler,Male,Saldaea,16,15,15,13,13
2013-09-19 18:57:10,Human,Channeler,Male,Saldaea,18,16,15,13,12
2013-09-19 18:57:09,Human,Channeler,Male,Saldaea,13,18,14,15,14
2013-09-19 18:57:09,Human,Channeler,Male,Saldaea,17,15,15,15,10
2013-09-19 18:57:08,Human,Channeler,Male,Saldaea,14,15,16,13,13
2013-09-19 18:57:07,Human,Channeler,Male,Saldaea,14,16,18,15,13
2013-09-19 18:57:07,Human,Channeler,Male,Saldaea,16,15,15,15,9
2013-09-19 18:57:06,Human,Channeler,Male,Saldaea,13,13,19,15,12
2013-09-19 18:57:06,Human,Channeler,Male,Saldaea,12,15,16,17,12
